l_accel_x_0,l_accel_y_0,l_accel_z_0,l_gyro_x_0,l_gyro_y_0,l_gyro_z_0,l_flex_raw_1_0,l_flex_raw_2_0,l_flex_raw_3_0,l_flex_raw_4_0,l_flex_raw_5_0,r_accel_x_0,r_accel_y_0,r_accel_z_0,r_gyro_x_0,r_gyro_y_0,r_gyro_z_0,r_flex_raw_1_0,r_flex_raw_2_0,r_flex_raw_3_0,r_flex_raw_4_0,r_flex_raw_5_0,l_accel_x_1,l_accel_y_1,l_accel_z_1,l_gyro_x_1,l_gyro_y_1,l_gyro_z_1,l_flex_raw_1_1,l_flex_raw_2_1,l_flex_raw_3_1,l_flex_raw_4_1,l_flex_raw_5_1,r_accel_x_1,r_accel_y_1,r_accel_z_1,r_gyro_x_1,r_gyro_y_1,r_gyro_z_1,r_flex_raw_1_1,r_flex_raw_2_1,r_flex_raw_3_1,r_flex_raw_4_1,r_flex_raw_5_1,l_accel_x_2,l_accel_y_2,l_accel_z_2,l_gyro_x_2,l_gyro_y_2,l_gyro_z_2,l_flex_raw_1_2,l_flex_raw_2_2,l_flex_raw_3_2,l_flex_raw_4_2,l_flex_raw_5_2,r_accel_x_2,r_accel_y_2,r_accel_z_2,r_gyro_x_2,r_gyro_y_2,r_gyro_z_2,r_flex_raw_1_2,r_flex_raw_2_2,r_flex_raw_3_2,r_flex_raw_4_2,r_flex_raw_5_2,l_accel_x_3,l_accel_y_3,l_accel_z_3,l_gyro_x_3,l_gyro_y_3,l_gyro_z_3,l_flex_raw_1_3,l_flex_raw_2_3,l_flex_raw_3_3,l_flex_raw_4_3,l_flex_raw_5_3,r_accel_x_3,r_accel_y_3,r_accel_z_3,r_gyro_x_3,r_gyro_y_3,r_gyro_z_3,r_flex_raw_1_3,r_flex_raw_2_3,r_flex_raw_3_3,r_flex_raw_4_3,r_flex_raw_5_3,l_accel_x_4,l_accel_y_4,l_accel_z_4,l_gyro_x_4,l_gyro_y_4,l_gyro_z_4,l_flex_raw_1_4,l_flex_raw_2_4,l_flex_raw_3_4,l_flex_raw_4_4,l_flex_raw_5_4,r_accel_x_4,r_accel_y_4,r_accel_z_4,r_gyro_x_4,r_gyro_y_4,r_gyro_z_4,r_flex_raw_1_4,r_flex_raw_2_4,r_flex_raw_3_4,r_flex_raw_4_4,r_flex_raw_5_4,l_accel_x_5,l_accel_y_5,l_accel_z_5,l_gyro_x_5,l_gyro_y_5,l_gyro_z_5,l_flex_raw_1_5,l_flex_raw_2_5,l_flex_raw_3_5,l_flex_raw_4_5,l_flex_raw_5_5,r_accel_x_5,r_accel_y_5,r_accel_z_5,r_gyro_x_5,r_gyro_y_5,r_gyro_z_5,r_flex_raw_1_5,r_flex_raw_2_5,r_flex_raw_3_5,r_flex_raw_4_5,r_flex_raw_5_5,label
0.001439491,0.012101487,0.031083254,0.008783337,0.009051717,0.009124911,0.045788024,0.067990348,0.119714444,0.134841302,0.000895412,0.016590748,0.002537408,0.03457219,0.007490235,0.00993005,0.007661022,0.100439899,0.115078794,0.134353339,0.005287081,0.096780175,0.001488288,0.011589125,0.031229643,0.009027319,0.009027319,0.008929726,0.046032006,0.067990348,0.120202407,0.134353339,0.339785833,0.014053339,0.001537084,0.032229967,0.008856532,0.008856532,0.009100513,0.168022798,0.273422842,0.134353339,0.486662747,0.099219991,0,0.012613848,0.030107327,0.008978522,0.008954124,0.008929726,0.046275987,0.067990348,0.118982499,0.132645468,0.406148824,0.018469406,0.007002271,0.033327884,0.009661671,0.010027643,0.003854909,0.212915409,0.394193726,0.13288945,0.209499667,0.098244065,0.000512361,0.012613848,0.030082929,0.008905328,0.008807735,0.009173708,0.046275987,0.067990348,0.119714444,0.131913523,0.000895412,0.01629797,0.004391669,0.032303162,0.008661346,0.009027319,0.004220881,0.178270024,0.302700632,0.133377413,0.017730142,0.098244065,0.000951528,0.012955422,0.030448902,0.008954124,0.009027319,0.008905328,0.046032006,0.068478311,0.119714444,0.131181578,0.000895412,0.013394589,0.005977549,0.033425477,0.00900292,0.009051717,0.009344495,0.108979254,0.131913523,0.144112602,0.080189427,0.099219991,0.000878334,0.012613848,0.030692883,0.008807735,0.00888093,0.008978522,0.04676395,0.068966274,0.119958426,0.131669542,1,0.013614172,0.00583116,0.033767051,0.008734541,0.008954124,0.009076115,0.165339,0.265615431,0.145820473,0.428107166,0.098732028,r
0.002561375,0.014294914,0.032370907,0.010489442,0.010562624,0.010660201,0.046924398,0.069122985,0.120106553,0.131815698,1,0.01710023,0,0.034054096,0.011416416,0.01041626,0.010367472,0.100835252,0.115959564,0.13742633,0.003259045,0.099127669,0.00373229,0.012733695,0.032858788,0.010587018,0.01053823,0.010635807,0.04765622,0.069610866,0.120838375,0.131083877,0.054974435,0.017417353,0.002585769,0.035444557,0.011123688,0.010562624,0.010611413,0.167187073,0.279155771,0.135474806,0.001063581,0.100591312,0.003829866,0.012904453,0.033005152,0.010440654,0.010611413,0.010660201,0.047412279,0.069122985,0.120106553,0.133035401,0.92950119,0.021466766,0.002439405,0.032102572,0.006927911,0.011123688,0.006927911,0.104006479,0.122789899,0.134986925,0.053754732,0.100835252,0.003268803,0.013392334,0.032663635,0.010611413,0.010587018,0.010635807,0.047168338,0.069366926,0.120106553,0.131815698,0.001063581,0.014660825,0.000561063,0.034346825,0.009733227,0.012733695,0.011977479,0.236954061,0.446011085,0.148159713,0.675315171,0.100591312,0.003829866,0.014050974,0.033907732,0.010196714,0.010074743,0.010367472,0.04765622,0.070586628,0.119862613,0.131815698,1,0.019051754,0.000292729,0.031687873,0.010465048,0.010465048,0.010562624,0.125473245,0.178408337,0.147671832,0.001063581,0.09985949,0.003756684,0.01300203,0.033663791,0.01053823,0.010587018,0.010757777,0.049119863,0.070586628,0.119862613,0.132059639,0.06692752,0.019198119,0.000536669,0.031663479,0.010465048,0.01053823,0.010708989,0.118886851,0.15645369,0.150111237,0.115471683,0.101079193,r
0.005021304,0.014374712,0.034386084,0.011593304,0.011617918,0.011470233,0.048167593,0.069828119,0.121025724,0.132840556,0.019615083,0.014473169,0.004725933,0.034976826,0.013390143,0.011322547,0.01203636,0.137024976,0.196837563,0.145639958,0.279049103,0.099365199,0.005021304,0.014374712,0.034386084,0.011593304,0.011617918,0.011470233,0.048167593,0.069828119,0.121025724,0.132840556,0.019615083,0.016983821,0,0.034878369,0.011445619,0.010165678,0.011248705,0.226866928,0.425257649,0.143670819,0.310063037,0.092965498,0.00465209,0.016073094,0.033844571,0.011494847,0.011445619,0.011519461,0.047429166,0.073274111,0.121271867,0.133578983,0.402612555,0.01703305,0.002806023,0.034312241,0.011494847,0.011347162,0.011519461,0.14268625,0.224405505,0.145639958,0.001154408,0.091488644,0.004972075,0.015851566,0.033696886,0.011347162,0.011421004,0.011494847,0.046690739,0.073274111,0.121025724,0.133332841,0.001154408,0.017648405,0.003716749,0.035296811,0.011790218,0.011544075,0.01156869,0.123979432,0.169269622,0.145639958,0.159916213,0.093703925,0.004996689,0.015433124,0.033623043,0.011470233,0.011519461,0.011544075,0.046936882,0.073766396,0.121025724,0.133825126,0.063920703,0.022448181,0.010559506,0.035124511,0.011544075,0.012479416,0.00627663,0.126440856,0.170254191,0.1458861,0.177638461,0.096903776,0.004898232,0.015334667,0.033647657,0.011421004,0.011617918,0.011519461,0.046936882,0.074504823,0.122010294,0.13431741,1,0.021955896,0.011125634,0.035419882,0.011248705,0.01058412,0.010362592,0.272157118,0.523714583,0.152531943,0.644816612,0.102565049,r
0.010493408,0.020008155,0.042055186,0.017452766,0.017833356,0.017969281,0.052874813,0.081419057,0.133614245,0.147206742,0.759956504,0.017507136,0,0.034579312,0.020606225,0.019274161,0.013103167,0.352997146,0.682207422,0.164061438,0.712110915,0.105613701,0.010683703,0.020606225,0.04240859,0.017507136,0.017697431,0.017643061,0.052602963,0.086584206,0.135789044,0.151012641,0.001767025,0.025472339,0.008780753,0.04300666,0.017778986,0.017479951,0.017751801,0.24425717,0.338045399,0.164876988,0.001767025,0.101264102,0.010330298,0.02144896,0.041946446,0.017778986,0.017697431,0.017751801,0.052059263,0.087399755,0.135517195,0.151828191,0.001767025,0.025798559,0.008862308,0.043196955,0.017344026,0.017670246,0.017833356,0.144488242,0.20157673,0.164605138,0.211907027,0.107516651,0.010330298,0.02144896,0.041946446,0.017778986,0.017697431,0.017751801,0.052059263,0.087399755,0.135517195,0.151828191,0.001767025,0.025825744,0.008971048,0.042816365,0.017398396,0.017425581,0.017778986,0.299986408,0.590322142,0.164605138,0.747451407,0.096098953,0.009487563,0.023542205,0.0442028,0.019355716,0.018485796,0.018213946,0.052059263,0.083322006,0.135789044,0.151556341,0.220334375,0.034660867,0.015495447,0.04316977,0.015903221,0.018866386,0.007557428,0.301617507,0.593040642,0.163789588,0.68682887,0.1099633,0.008916678,0.02346065,0.041239636,0.017643061,0.017724616,0.017452766,0.053418513,0.083593856,0.130623896,0.151012641,1,0.029658828,0.011771102,0.04229985,0.016474106,0.017479951,0.017534321,0.192605682,0.304336007,0.167867337,0.356259345,0.116215849,r
0.001488302,0.012223597,0.031107956,0.008807821,0.008783423,0.008856618,0.046510663,0.072616948,0.120193821,0.134832859,0.017720555,0.015444185,0.004830883,0.036134025,0.008124666,0.010881685,0.009320187,0.261460537,0.509348246,0.148495961,0.714538761,0.097747296,0.001488302,0.012223597,0.031107956,0.008807821,0.008783423,0.008856618,0.046510663,0.072616948,0.120193821,0.134832859,0.017720555,0.014517046,0,0.031303143,0.008685829,0.008783423,0.008905415,0.120681789,0.162403047,0.148007993,0.158987271,0.094331521,0.001707888,0.012979947,0.030668784,0.008807821,0.008807821,0.008856618,0.047242615,0.075056787,0.121657725,0.135320827,1,0.020348263,0.007880682,0.030522394,0.006831551,0.008685829,0.002537433,0.269268024,0.528622979,0.148007993,0.631584212,0.100187136,0.001122326,0.013321525,0.030156418,0.008759024,0.00897861,0.009100602,0.046998631,0.076276707,0.120925773,0.134344891,0.000885662,0.018835562,0.010613302,0.03271825,0.007539105,0.008173463,0.008319853,0.148251977,0.241209868,0.152887672,0.018940475,0.102139007,0.002098262,0.012443182,0.031815509,0.008539439,0.008905415,0.008783423,0.048706519,0.074568819,0.121169757,0.136296763,0.000885662,0.019152741,0.005684826,0.030912768,0.008637032,0.008954212,0.009100602,0.111898366,0.148007993,0.154839544,0.106042751,0.093843553,0.001293115,0.013736297,0.030302808,0.008856618,0.008929813,0.009027407,0.048950503,0.076276707,0.121657725,0.135808795,0.831163096,0.019006351,0.005587233,0.031303143,0.00897861,0.008954212,0.008954212,0.112386334,0.151911736,0.156791416,0.114826174,0.100187136,r
0.001580739,0.01417725,0.0309479,0.009237442,0.009311539,0.009410335,0.049580857,0.077243784,0.123184003,0.137509447,0.841432149,0.014992319,0,0.032899124,0.010768782,0.008669364,0.00928684,0.250878051,0.487741865,0.148377026,0.465512727,0.097496999,0.001432544,0.012695308,0.031293686,0.009064548,0.009237442,0.009138646,0.048098915,0.076749804,0.124665945,0.139979352,0.193823264,0.015165212,0.00051868,0.032158153,0.009113947,0.009188044,0.009311539,0.105400693,0.126394878,0.150352949,0.06316533,0.093545152,0.005483187,0.011806142,0.036702777,0.006767538,0.00980552,0.01469593,0.048098915,0.075514852,0.124665945,0.139979352,0.086629421,0.01417725,0.000666874,0.031738269,0.00901515,0.009212743,0.008447072,0.271378256,0.534176065,0.149858968,0.669526816,0.094533114,0.003037982,0.01313989,0.030898502,0.007533208,0.008372975,0.012571812,0.048345905,0.07452689,0.125653907,0.13923838,1,0.015288707,0.00024699,0.03247924,0.009163345,0.009188044,0.009385636,0.106882635,0.130593716,0.149364988,0.000923744,0.094286124,0.000987962,0.008397674,0.030824405,0.009188044,0.009385636,0.008792859,0.047604934,0.073785919,0.124418955,0.139979352,0.000923744,0.01496762,0.001407845,0.032133454,0.008990451,0.009188044,0.009138646,0.140226342,0.205678804,0.149858968,0.259028735,0.094780104,0.000987962,0.008397674,0.030824405,0.009188044,0.009385636,0.008792859,0.047604934,0.073785919,0.124418955,0.139979352,0.000923744,0.015510998,0.00128435,0.032627435,0.009089248,0.009163345,0.00928684,0.268414371,0.527507323,0.151834892,0.700153628,0.09799098,l
0.001807627,0.014984963,0.033742363,0.01063618,0.01095055,0.010767167,0.051127016,0.08308795,0.132077251,0.149891542,1,0.015482715,0.007204309,0.038929466,0.01053139,0.011893659,0.011395907,0.289000199,0.567741462,0.160632512,0.677508933,0.105617789,0.001886219,0.014565803,0.033480389,0.010819562,0.010767167,0.010871957,0.052698865,0.082564,0.132077251,0.149367593,0.553070869,0.015875677,0,0.03492125,0.01074097,0.010767167,0.010924352,0.138102673,0.188925798,0.159060663,0.201500592,0.103260015,0.001886219,0.014565803,0.033480389,0.010819562,0.010767167,0.010871957,0.052698865,0.082564,0.132077251,0.149367593,0.553070869,0.01584948,0.000366765,0.03492125,0.010400402,0.011081537,0.010714772,0.112429136,0.139674522,0.159060663,0.001089815,0.10352199,0.005553867,0.012993954,0.04076329,0.008068826,0.010243217,0.017735699,0.050079116,0.079944252,0.130767377,0.147795743,0.001089815,0.016556812,0.001519454,0.034947448,0.010871957,0.01084576,0.011133932,0.150153517,0.223768456,0.159060663,0.291619948,0.10456989,0.000445357,0.011605487,0.033244611,0.010688575,0.011002945,0.010505192,0.050603066,0.080468201,0.132339226,0.148581668,0.021261881,0.016583009,0.001702837,0.03534041,0.010714772,0.01084576,0.010898155,0.291095998,0.574028859,0.159584613,0.684058305,0.106403714,0.000445357,0.011605487,0.033244611,0.010688575,0.011002945,0.010505192,0.050603066,0.080468201,0.132339226,0.148581668,0.021261881,0.016740194,0.001571849,0.035497595,0.010793365,0.010871957,0.01095055,0.105617789,0.120288382,0.159060663,0.001089815,0.10456989,l
0,0.009880097,0.032421356,0.01007526,0.010099655,0.010221631,0.047119525,0.074198309,0.123232865,0.138113999,0.835087762,0.015295854,0.005147409,0.034934072,0.009440982,0.010636351,0.011197443,0.105912201,0.134454704,0.147628167,0.001012405,0.098349658,0.004220387,0.011270629,0.03281168,0.009953283,0.009977678,0.010050864,0.046631619,0.074442262,0.125184489,0.143724919,0.001012405,0.017564617,0.001097789,0.03239696,0.010221631,0.009977678,0.010221631,0.270824439,0.533561836,0.147140261,0.637973726,0.096398034,0.004220387,0.011270629,0.03281168,0.009953283,0.009977678,0.010050864,0.046631619,0.074442262,0.125184489,0.143724919,0.001012405,0.018076918,0.002927436,0.032860471,0.010050864,0.010343608,0.009928888,0.159337912,0.264237708,0.147140261,0.025163753,0.096398034,0.004854665,0.007635729,0.03483649,0.010855909,0.010246027,0.010368003,0.046631619,0.076149934,0.125672395,0.144700731,1,0.017540222,0.000878231,0.032104217,0.009977678,0.009928888,0.009880097,0.101765,0.121769147,0.147384214,0.056877645,0.097373846,0.00082944,0.015027506,0.031787078,0.009904492,0.010319213,0.010270422,0.046143713,0.073710403,0.127380067,0.145188637,0.498920508,0.018394057,0.002415135,0.032226193,0.009953283,0.010221631,0.010270422,0.240818218,0.459888026,0.148116073,0.693838967,0.097861752,0.001805252,0.006659917,0.031860264,0.010050864,0.01012405,0.010002074,0.04589976,0.073954356,0.124208677,0.144700731,0.110059403,0.017930547,0.001268556,0.032201798,0.009904492,0.01007526,0.010172841,0.226912897,0.433053194,0.147140261,0.34132686,0.09688594,l
0.005706287,0.012753796,0.036091047,0.01389993,0.013973088,0.01389993,0.046513556,0.073337983,0.126011403,0.146007794,0.001399747,0.01231485,0,0.031921068,0.012705024,0.016094656,0.010607842,0.232577535,0.440588772,0.148446378,0.741510069,0.094309807,0.005706287,0.012753796,0.036091047,0.01389993,0.013973088,0.01389993,0.046513556,0.073337983,0.126011403,0.146007794,0.001399747,0.019923233,0.003731034,0.036091047,0.014338875,0.013924316,0.013826773,0.238917854,0.453757127,0.147470944,0.728341714,0.094797524,0.008242415,0.017411492,0.036725079,0.013875544,0.014021859,0.014070631,0.046269698,0.07528885,0.125035969,0.146251652,0.019201412,0.020167092,0.003852963,0.035944732,0.013851159,0.013924316,0.014046245,0.257207236,0.498870935,0.147958661,0.728585572,0.099918551,0.008852061,0.016679916,0.036627536,0.013924316,0.013997474,0.013973088,0.047001273,0.074801133,0.125767544,0.145520077,1,0.020484108,0.004535767,0.036066661,0.013875544,0.013973088,0.014070631,0.110404464,0.146007794,0.147714803,0.001399747,0.100650127,0.005486815,0.014704663,0.035652102,0.013851159,0.013924316,0.013948702,0.046513556,0.074557275,0.124304394,0.146739369,0.24257573,0.020337793,0.004145593,0.036091047,0.013875544,0.013948702,0.014070631,0.177709389,0.300370177,0.147714803,0.506918264,0.100650127,0.005559972,0.014290104,0.035798417,0.013924316,0.013924316,0.013875544,0.047001273,0.07528885,0.124060535,0.146983227,0.001399747,0.020313407,0.004267522,0.035944732,0.013826773,0.013948702,0.014046245,0.26891244,0.534230407,0.147958661,0.658842063,0.101381702,l
0.004,0.012365854,0.034073171,0.012121951,0.012146341,0.012219512,0.046585366,0.074390244,0.124878049,0.146829268,0.001219512,0.013097561,0.003585366,0.035682927,0.011341463,0.013536585,0.011195122,0.241219512,0.472926829,0.109756098,0.413658537,0.093658537,0.005756098,0.013756098,0.034585366,0.01204878,0.012121951,0.012195122,0.045609756,0.074146341,0.123658537,0.131707317,0.468780488,0.01802439,0,0.035463415,0.012756098,0.01202439,0.012756098,0.094878049,0.108292683,0.112195122,0.006341463,0.092195122,0.006195122,0.013317073,0.034634146,0.012146341,0.012,0.012121951,0.044878049,0.073658537,0.123902439,0.133170732,1,0.017585366,0.004658537,0.035682927,0.012,0.012146341,0.012243902,0.096585366,0.112195122,0.115365854,0.04195122,0.093170732,0.008853659,0.00697561,0.035634146,0.01,0.012439024,0.01595122,0.044878049,0.073658537,0.12195122,0.133170732,0.001219512,0.017853659,0.003292683,0.035926829,0.011926829,0.012414634,0.012341463,0.217073171,0.41,0.115853659,0.667317073,0.094146341,0.008853659,0.00697561,0.035634146,0.01,0.012439024,0.01595122,0.044878049,0.073658537,0.12195122,0.133170732,0.001219512,0.017,0.00404878,0.035195122,0.012146341,0.012,0.012146341,0.177560976,0.314878049,0.115121951,0.058780488,0.092682927,0.002804878,0.013,0.033731707,0.012609756,0.012341463,0.011609756,0.044146341,0.073170732,0.12097561,0.133170732,0.091463415,0.018365854,0.005414634,0.035219512,0.01202439,0.012170732,0.012121951,0.107073171,0.135609756,0.115121951,0.101463415,0.094878049,l
